Rank,Artist[68],Followers(millions),Ref(s)
1,Ed Sheeran,114.90,[69]
2,Arijit Singh,98.72,[70]
3,Taylor Swift,97.66,[71]
4,Ariana Grande,95.38,[72]
5,Billie Eilish,90.42,[73]
6,Drake,83.40,[74]
7,Eminem,80.17,[75]
8,Bad Bunny,78.04,[76]
9,The Weeknd,76.90,[77]
10,Justin Bieber,74.48,[78]
11,BTS,71.54,[79]
12,Rihanna,58.74,[80]
13,Adele,53.29,[81]
14,Bruno Mars,52.89,[82]
15,Imagine Dragons,51.45,[83]
16,Queen,49.01,[84]
17,Coldplay,48.70,[85]
18,Blackpink,47.57,[86]
19,Selena Gomez,47.31,[87]
20,Neha Kakkar,44.15,[88]
21,XXXTentacion,43.76,[89]
22,Post Malone,43.02,[90]
23,Karol G,42.98,[91]
24,Shawn Mendes,42.66,[92]
25,Dua Lipa,42.46,[93]
26,A.R. Rahman,42.36,[94]
27,Maroon 5,41.53,[95]
28,Alan Walker,39.27,[96]
29,Ozuna,37.46,[97]
30,J Balvin,37.45,[98]
31,Beyoncé,36.50,[99]
32,Marshmello,34.61,[100]
33,Maluma,34.24,[101]
34,Anuel AA,34.19,[102]
35,One Direction,34.09,[103]
36,Daddy Yankee,33.79,[104]
37,Marília Mendonça,33.38,[105]
38,Camila Cabello,32.22,[106]
39,Shakira,32.22,[107]
40,Juice Wrld,31.99,[108]
41,Olivia Rodrigo,31.51,[109]
42,Katy Perry,31.09,[110]
43,Lana Del Rey,31.08,[111]
44,Harry Styles,30.71,[112]
45,Nicki Minaj,30.43,[113]
46,Guns N' Roses,30.30,[114]
47,Michael Jackson,29.63,[115]
48,Lady Gaga,28.81,[116]
49,Doja Cat,28.01,[117]
50,AC/DC,27.75,[118]
